,date,code,name,status,holding_nav,holding_volume,holding_money,total_fee,holding_gain,history_gain,category1,category2,category3,categoryId
0,2020-03-19,515180,100红利,买入,0.865,3000.0,2595.61,0.71,122.4,0.0,A 股,红利价值,中证红利,131
1,2020-03-19,159920,恒生ETF,买入,1.302,9600.0,12495.05,1.26,0.0,0.0,海外新兴,香港,恒生,211
2,2020-03-25,513520,日经ETF,卖出,0.832,12000.0,9983.5,1.5,98.6,0.0,海外成熟,日本,日经225,331
3,2020-03-16,160416,石油基金,初始化,0.608,13896.0,8448.77,0.0,0.0,0.0,商品,商品,原油,613
4,2020-03-12,162411,华宝油气,清仓,0.0,0.0,0.0,2.12,0.0,0.0,商品,商品,原油,613
