,id,date,code,name,status,holding_nav,holding_volume,holding_money,holding_gain,history_gain,total_cash_dividend,total_fee,account,category1,category2,category3,categoryId
42,,2020-03-18,000614,华安德国30(DAX)联接,买入,1.001,50553.79,50602.0,0.0,0.0,0.0,60.66,,海外成熟,德国,德国30,321
43,,2020-05-26,513520,日经ETF,卖出,-1.608,600.0,-964.59,2549.6,0.0,0.0,2.59,,海外成熟,日本,日经225,331
44,,2020-07-15,006585,南方宝元债券C,买入,2.244,52672.05,118194.38,11.753,0.0,0.0,0.0,,混合型,股债混合,偏股,411
45,,2020-07-15,008127,广发趋势优选混合C,买入,1.5241,77541.53,118184.56,14.139,0.0,0.0,0.0,,混合型,股债混合,偏股,411
46,,2020-07-15,002147,长安鑫益增强混合C,买入,1.2133,292042.06,354325.51,773.994,0.0,0.0,0.0,,混合型,股债混合,偏债,412
47,,2020-07-15,007749,民生加银鹏程混合C,买入,1.0939,215145.75,235351.67,-61.559,0.0,0.0,0.0,,混合型,股债混合,偏债,412
48,,2020-07-15,006060,鹏扬泓利债券C,买入,1.0816,111030.28,120085.91,-344.007,0.0,0.0,0.0,,混合型,股债混合,偏债,412
49,,2020-07-15,485011,工银双利债券B,买入,1.5744,75687.25,119163.65,-55.995,0.0,0.0,0.0,,混合型,股债混合,偏债,412
50,,2020-07-15,009308,天弘安康颐养混合C,买入,1.0095,117794.11,118918.92,0.0,0.0,0.0,0.0,,混合型,股债混合,偏债,412
51,,2020-07-14,270048,广发纯债债券A,分现,1.199,6135.71,7356.55,110.45,0.0,110.45,5.97,,债券,国内债券,纯债,511
52,,2019-12-02,110027,易方达安心回报债券A,买入,1.5969,22663.94,36191.0,9.0,0.0,9.0,28.96,,债券,国内债券,可转债,512
53,,2019-06-24,340001,兴全可转债混合,分额,0.9882,34000.37,33600.0,0.0,0.0,0.0,33.55,,债券,国内债券,可转债,512
54,,2020-03-13,518880,黄金ETF,卖出,2.268,2300.0,5216.93,1350.8,-369.0,0.0,4.1,,商品,商品,黄金,611
55,,2020-03-13,000216,华安黄金易ETF联接A,卖出,1.0904,1284.13,1130.22,270.034,0.0,0.0,3.35,,商品,商品,黄金,611
56,,2020-03-12,162411,华宝标普油气上游股票,卖出,0.5567,54842.62,30533.28,-6869.25,-13486.5,0.0,41.39,,商品,商品,原油,613
57,,2020-03-16,160416,华安标普石油指数,买入,0.6109,14922.5,9115.77,0.0,0.0,0.0,0.8,,商品,商品,原油,613
58,,2020-05-06,501018,南方原油A,卖出,0.7166,558.94,693.94,-293.405,203.31,0.0,10.93,,商品,商品,原油,613
